Date,Type,Price,Shares,Cash,PnL%
2015-12-02 00:00:00-05:00,BUY,26.242948532104492,380.6355824605565,10000.0,0.0
2015-12-11 00:00:00-05:00,SELL,25.543310165405273,380.6355824605565,9711.97005003691,-2.6660051778987843
2016-09-15 00:00:00-04:00,BUY,26.526832580566406,365.7149058607935,9711.97005003691,0.0
2016-11-01 00:00:00-04:00,SELL (Stop Loss),25.590349197387695,365.7149058607935,9348.413375519807,-3.5303249279176283
2016-11-29 00:00:00-05:00,BUY,25.71480941772461,363.1395749605588,9348.413375519807,0.0
2017-01-25 00:00:00-05:00,SELL (Take Profit),28.11879539489746,363.1395749605588,10199.836360697876,9.348643958900356
2017-05-01 00:00:00-04:00,BUY,33.963924407958984,299.9840772802335,10199.836360697876,0.0
2017-06-09 00:00:00-04:00,SELL,34.66250228881836,299.9840772802335,10386.800566569824,2.056823211794903
2018-01-12 00:00:00-05:00,BUY,41.51325225830078,249.93015968602262,10386.800566569824,0.0
2018-01-25 00:00:00-05:00,SELL (Stop Loss),40.11141586303711,249.93015968602262,10014.027519309444,-3.3768406930424675
2018-07-12 00:00:00-04:00,BUY,45.13699722290039,221.61450932130407,10014.027519309444,0.0
2018-08-02 00:00:00-04:00,SELL (Take Profit),49.00258255004883,221.61450932130407,10847.823604018462,8.564117165479544
2020-04-07 00:00:00-04:00,BUY,62.804473876953125,172.53509362476862,10847.823604018462,0.0
2020-04-14 00:00:00-04:00,SELL (Take Profit),69.49092864990234,172.53509362476862,11976.634256802334,10.646462521204075
2021-01-25 00:00:00-05:00,BUY,139.26068115234375,85.908366407155,11976.634256802334,0.0
2021-01-28 00:00:00-05:00,SELL (Stop Loss),133.57994079589844,85.908366407155,11463.158864041576,-4.079213392781618
2021-06-14 00:00:00-04:00,BUY,127.5454330444336,89.77738702089319,11463.158864041576,0.0
2021-07-06 00:00:00-04:00,SELL (Take Profit),138.82591247558594,89.77738702089319,12449.964245176472,8.844283297248683
2021-08-12 00:00:00-04:00,BUY,145.75946044921875,85.32217560769624,12449.964245176472,0.0
2021-09-20 00:00:00-04:00,SELL (Stop Loss),139.93455505371094,85.32217560769624,11926.581159197684,-3.9962451682765083
2021-10-19 00:00:00-04:00,BUY,145.63221740722656,81.8064490821061,11926.581159197684,0.0
2021-11-19 00:00:00-05:00,SELL (Take Profit),157.40370178222656,81.8064490821061,12862.761277267547,8.083022139313986
2022-10-25 00:00:00-04:00,BUY,149.9725799560547,85.67498485226629,12862.761277267547,0.0
2022-10-27 00:00:00-04:00,SELL (Stop Loss),142.54978942871094,85.67498485226629,12199.738098948561,-4.949431775807813
2023-01-18 00:00:00-05:00,BUY,133.32965087890625,91.4015620720238,12199.738098948561,0.0
2023-02-02 00:00:00-05:00,SELL (Take Profit),148.72254943847656,91.4015620720238,13578.879860676532,11.54499277400087
2023-03-15 00:00:00-04:00,BUY,151.0926971435547,89.7746961782559,13578.879860676532,0.0
2023-04-03 00:00:00-04:00,SELL (Take Profit),164.1092529296875,89.7746961782559,14717.125463481441,8.61494700419945
2023-08-31 00:00:00-04:00,BUY,186.04766845703125,79.01957847654153,14717.125463481441,0.0
2023-09-07 00:00:00-04:00,SELL (Stop Loss),175.83766174316406,79.01957847654153,13879.72329333427,-5.487844485525088
2024-05-03 00:00:00-04:00,BUY,182.072509765625,76.15012056399189,13879.72329333427,0.0
2024-06-11 00:00:00-04:00,SELL (Take Profit),205.95199584960938,76.15012056399189,15666.586045028169,13.115371515844718
2025-05-21 00:00:00-04:00,BUY,201.86090087890625,77.52823548712549,15666.586045028169,0.0
2025-05-23 00:00:00-04:00,SELL (Stop Loss),195.04864501953125,77.52823548712549,15105.655505236446,-3.3747277604104147
2025-07-01 00:00:00-04:00,BUY,207.58441162109375,72.69115118949462,15105.655505236446,0.0
2025-08-04 00:00:00-04:00,SELL,203.11949157714844,72.69115118949462,14749.224682096008,-2.1508937058796027
